Location_Coordinates,Hospital_Name,Address_Original_First_Line
"11.6357989, 92.7120575",Chakraborty Multi Speciality Hospital,Near Dollygunj Junction
"11.8311681, 92.6586401",Inhs Dhanvantri,Medical Board Office
"11.8311681, 92.6586401",Maricar Hospital,Near Masjid
"11.6498468, 92.7294624",Pillar Health Centre,"Lamba Line, P.B. No. 526"
"11.6233774, 92.7264828","G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair"
"17.4274003, 78.4311174","Care Hospital, Banjara","Road No.1, Banjara Hills"
"14.6795736, 77.592469",Aasha Hospitals,"7/201, Court Road"
"14.6818877, 77.6005911",Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex"
"14.6723351, 77.6018211",Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar"
"14.6749908, 77.6032432",Hrudaya Children Hospital,Sai Nagar Iind Cross
"17.4738037, 78.5641765","Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar"
"14.6818877, 77.6005911",Meda Nursing Home,Railway Station Road
"14.6723351, 77.6018211",Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross"
"14.6867872, 77.5832307",Mythri Hospitals,D No: 15/721 Kamala Nagar
"15.3474564, 75.1253824",Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross"
"14.6742267, 77.6025251",Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar"
"14.6818877, 77.6005911",Prasanthi Nursing Home,"#346, Court Road"
"14.6723351, 77.6018211",Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road"
"14.6805847, 77.6000775",Ravitej Nursing Home,"15-16, Kamala Nagar"
"13.9860276, 77.7658783",Santhi Nursing Home,"Near R.T.C, Bus Stand"
"14.6818877, 77.6005911",Sri Sai Balaji Hospital,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross"
"13.6340453, 79.4157431",Sri Sai Kurpa Nursing Home,"10/368, Sarojini Road"
"14.6818877, 77.6005911",Sri Sai Venkateshwara Surgical Clinic,Anantapur
"14.9093514, 78.0060388",Sudhir Surgical Clinic,Hospital Road
"14.6755437, 77.6036802",Suma Eye Clinic,"12-2-870,1St Cross,Sai Nagar"
"14.6755437, 77.6036802",Swetha Ent Hospital,"#12/350-A,1St Cross ,Sai Nagar"
"19.0627033, 72.9297396",Varun Children's Hospital,"D. No.14/224, Kamala Nagar"
